"datetimeMT","Cond.µS.cm.mn","ODO.mg.L.mn","SpCond.µS.cm.mn","Turbidity.FNU.mn","Temp..C.mn","siteID","rho","fDOM.QSU.mn.Tc","DTW_m_con"
"2024-04-15 03:30:00",896.345454545455,1.88,1179.51818181818,2.21454545454545,12.431,"SLOC",-0.00317497263550439,64.3440881336898,1.01805675386774
"2024-04-15 03:45:00",895.045454545455,2.40636363636364,1179.58181818182,1.74,12.3711818181818,"SLOC",-0.00317497263550439,64.616403578269,1.01680582223225
"2024-04-15 04:00:00",888.781818181818,2.85636363636364,1174.11818181818,1.61818181818182,12.276,"SLOC",-0.00317497263550439,64.7828784834901,1.01680582223225
"2024-04-15 04:15:00",885.890909090909,2.71,1172.18181818182,2.21181818181818,12.2115454545455,"SLOC",-0.00317497263550439,64.6015299703682,1.01649308932338
"2024-04-15 04:30:00",882.354545454545,2.6,1169.58181818182,2.25181818181818,12.1423636363636,"SLOC",-0.00317497263550439,63.973871969573,1.01743128805
"2024-04-15 04:45:00",881.909090909091,2.47,1170.50909090909,2.23909090909091,12.0908181818182,"SLOC",-0.00317497263550439,63.5917897099462,1.01743128805
"2024-04-15 05:00:00",881.154545454545,2.43,1170.93636363636,2.59727272727273,12.0433636363636,"SLOC",-0.00317497263550439,63.4786797169344,1.01836948677661
"2024-04-15 05:15:00",880.818181818182,2.42,1171.80909090909,2.77909090909091,11.999,"SLOC",-0.00317497263550439,63.4779504539852,1.01805675386774
"2024-04-15 05:30:00",880.336363636364,2.36,1172.52727272727,2.90818181818182,11.953,"SLOC",-0.00317497263550439,63.301445636919,1.01743128805
"2024-04-15 05:45:00",879.436363636364,2.3,1172.41818181818,2.84272727272727,11.9169090909091,"SLOC",-0.00317497263550439,62.6930982477656,1.01743128805
"2024-04-15 06:00:00",878.936363636364,2.25,1173.05454545455,3.14909090909091,11.8730909090909,"SLOC",-0.00317497263550439,62.4752729025771,1.01868221968548
"2024-04-15 06:15:00",877.436363636364,2.19,1172.73636363636,3.34545454545455,11.817,"SLOC",-0.00317497263550439,62.5553410129145,1.02055861713872
