WellID,Eventdates,DO_event_mean,DO_event_cv
SLOC,2023-10-09T04:45:00Z,1.0637724717848838,0.9068088403488985
SLOC,2023-10-10T04:00:00Z,1.0487596717812564,0.815648130699711
SLOC,2023-10-11T04:15:00Z,1.032820015695376,1.0255293858347792
SLOC,2023-10-16T20:15:00Z,1.0215729736203434,0.8731033708404471
SLOC,2023-10-17T17:00:00Z,1.0107780169420741,1.1919539376351047
SLOC,2023-11-18T03:15:00Z,0.9369895806489307,1.273293745248791
SLOC,2023-11-21T23:15:00Z,0.9520247395182727,1.2052339414358026
SLOC,2023-12-06T00:15:00Z,0.970824362361455,0.6977593828606851
SLOC,2023-12-18T18:00:00Z,0.920778995053087,0.9348777911060473
SLOC,2023-12-29T06:30:00Z,1.0775667477083462,1.4687033405703935
SLOC,2024-01-19T19:30:00Z,1.151112453759575,0.7913835736087625
SLOC,2024-01-21T01:15:00Z,1.1439511963247486,0.9910778681120123
SLOC,2024-01-21T14:45:00Z,1.1355592598737194,1.1675179644324332
SLOC,2024-02-10T22:00:00Z,1.1250746034348813,0.7114977715068097
SLOC,2024-02-21T17:45:00Z,1.1250968852994692,0.7348092912538715
SLOC,2024-03-20T16:00:00Z,0.9847015204759799,1.2897939374343828
SLOC,2024-04-14T12:45:00Z,1.0457538710249987,1.0915533882328194
SLOC,2024-04-15T09:30:00Z,1.0463841979760413,1.1592798416219208
SLOC,2024-05-23T16:45:00Z,0.79465365086719,0.374325265909659
SLOC,2024-07-17T20:00:00Z,0.9815091333516243,1.4104432709791952
SLOC,2024-08-19T16:15:00Z,1.0537309907678867,1.3283828314244075
SLOW,2023-09-20T16:45:00Z,1.6151769822491329,0.8249587369059714
SLOW,2023-10-16T20:30:00Z,1.6058414500661835,0.661894383912739
SLOW,2023-11-21T23:30:00Z,1.3518170386917698,0.7709888119904983
SLOW,2023-12-18T17:45:00Z,1.277349236364487,0.6613826510440296
SLOW,2024-01-19T19:45:00Z,1.6106946127603348,0.5787649786344574
SLOW,2024-02-21T17:15:00Z,1.5765339104400895,0.8132589664132259
SLOW,2024-03-20T16:00:00Z,1.4569642982858364,0.777580292391765
SLOW,2024-05-14T20:45:00Z,1.1610969402635536,0.5332034704600809
SLOW,2024-07-17T20:00:00Z,1.4710387359405195,0.9064092601934199
SLOW,2024-08-19T16:30:00Z,1.501424027166338,1.0250088759620666
VDOS,2023-10-16T05:15:00Z,2.663412916897554,0.19892972923223154
VDOS,2023-11-27T16:45:00Z,2.733582419848738,0.34186339198145316
VDOS,2023-11-29T17:15:00Z,2.728284132706912,0.9369690500803434
VDOS,2023-11-30T17:30:00Z,2.708325681367628,0.3751872550003664
VDOS,2024-02-21T20:30:00Z,2.7871678361377543,0.3873304232811715
VDOS,2024-04-17T16:00:00Z,2.632891872598548,0.34371150481107715
VDOS,2024-05-23T16:15:00Z,2.1577580522462525,1.9989269916013443
VDOS,2024-07-16T16:00:00Z,2.6130510066717902,0.09441323489970203
VDOS,2024-07-17T19:15:00Z,2.6264989745361507,0.5296801892692415
VDOS,2024-08-19T15:45:00Z,2.7215896348788142,0.15200744827047524
VDOW,2023-10-03T17:30:00Z,2.5586403497846444,0.317098989019178
VDOW,2023-10-04T18:00:00Z,2.5687421552919028,0.31191917250122186
VDOW,2023-10-04T22:15:00Z,2.570489135844773,0.2573560994423279
VDOW,2023-10-05T19:15:00Z,2.5779882308603317,0.23157072281985003
VDOW,2023-10-16T20:00:00Z,2.5982502951075257,0.18942084717352797
VDOW,2023-11-20T21:30:00Z,2.596479979961617,0.39540323497121554
VDOW,2023-11-27T16:45:00Z,2.6688976832777533,0.3138077202613719
VDOW,2023-11-28T17:15:00Z,2.678944815057009,0.3561739679263242
VDOW,2023-11-29T17:15:00Z,2.664149294502922,0.8599378461221249
VDOW,2023-12-18T16:45:00Z,2.6541678520983973,0.2782208556729717
VDOW,2024-02-21T20:45:00Z,2.7349391824087257,0.21624698616600802
VDOW,2024-03-20T15:45:00Z,2.704662321207866,0.3314116007156779
VDOW,2024-04-17T16:15:00Z,2.576297249359769,0.3956546969181466
VDOW,2024-05-14T19:15:00Z,2.5024552653667955,3.475650692312229
VDOW,2024-05-23T16:00:00Z,2.1428283368649668,1.8993101096486025
VDOW,2024-06-17T18:45:00Z,2.404428348434073,0.6147579206074659
VDOW,2024-07-17T19:15:00Z,2.5569218856520286,0.1887383965092528
VDOW,2024-08-19T15:30:00Z,2.639037224504961,0.13781233835581946
